source_table,object_id,host_id,disposition,period_days,duration_hours,depth_ppm,planet_radius_rearth,stellar_teff,stellar_radius_solar,stellar_logg
KOI,K04112.01,3348090,FALSE POSITIVE,2.43585046,2.088,60.5,2.6,6501.0,3.247,3.613
KOI,K04113.01,9282762,FALSE POSITIVE,1.33255441,3.828,106.7,1.12,6099.0,1.028,4.456
KOI,K04114.01,3117046,FALSE POSITIVE,359.1015,11.461,496.5,2.37,6373.0,1.047,4.438
KOI,K04044.01,5201115,FALSE POSITIVE,1.728521892,3.361,92.2,1.19,5872.0,1.157,4.282
KOI,K04045.01,2708203,FALSE POSITIVE,1.89125855,5.415,67.9,0.81,6569.0,0.927,4.41
KOI,K02195.02,11401767,CONFIRMED,30.0899459,6.654,242.6,2.25,6056.0,1.209,4.332
KOI,K04047.01,9655005,FALSE POSITIVE,1.39862757,9.625,45.5,2.39,7872.0,3.367,3.732
KOI,K00435.06,11709124,CONFIRMED,9.91937693,4.326,186.7,1.32,5688.0,0.971,4.415
KOI,K07671.01,3851194,FALSE POSITIVE,0.918510251,2.587,52.6,1.77,5837.0,2.338,3.791
KOI,K02263.02,8613535,CONFIRMED,9.47850818,6.154,184.6,1.47,6249.0,1.076,4.428
KOI,K04116.01,5092655,FALSE POSITIVE,0.783258387,2.2926,328.5,1.28,5067.0,0.715,4.565
KOI,K04117.01,3955817,CONFIRMED,4.24263096,2.582,187.6,1.1,5072.0,0.825,4.521
KOI,K04118.01,10661778,FALSE POSITIVE,1.231363214,5.8101,4774.7,10.75,5780.0,1.0,4.438
KOI,K04119.01,5513857,FALSE POSITIVE,0.755101928,3.044,119.8,0.91,5465.0,0.819,4.535
KOI,K04048.01,10272389,FALSE POSITIVE,4.56447463,6.415,208.4,1.13,5270.0,0.77,4.596
KOI,K04050.01,7968683,FALSE POSITIVE,367.95566,21.877,1414.1,3.62,4723.0,0.696,4.611
KOI,K04051.01,10360722,CONFIRMED,163.692336,6.853,1138.0,2.75,4999.0,0.843,4.49
KOI,K04052.01,9091755,FALSE POSITIVE,1.106529843,6.258,319.5,1.91,5932.0,0.798,4.58
KOI,K07672.01,3852476,FALSE POSITIVE,111.741576,3.83,238.8,6.88,5267.0,4.525,3.338
KOI,K04120.01,9700449,CANDIDATE,110.461746,12.46,331.2,1.93,6321.0,1.058,4.434
KOI,K04121.01,6349881,CONFIRMED,198.088873,7.955,1027.7,3.24,5275.0,0.969,4.397
KOI,K04122.01,9851970,FALSE POSITIVE,1.08193721,4.788,115.3,0.77,4965.0,0.736,4.555
KOI,K04123.01,6140059,CANDIDATE,44.6226725,12.974,131.9,1.73,6198.0,1.239,4.252
KOI,K04124.01,5726910,FALSE POSITIVE,2.43142974,2.713,146.6,1.17,5750.0,0.965,4.364
KOI,K04053.01,1718958,CONFIRMED,1.41975831,1.429,60.9,0.85,5925.0,1.035,4.394
