period_days,duration_hours,depth_ppm,planet_radius_rearth,stellar_teff,stellar_radius_solar,stellar_logg,disposition
129995.7784,9.408,1474.9,2.99,4500.0,0.726,4.572,1
31.5925809,13.566,145.1,1.78,5676.0,1.487,4.1,2
17.157236,11.284,110.4,1.55,5676.0,1.487,4.1,2
1.97376085,1.82542,30222.0,8.78,3807.0,0.503,4.762,2
13.118962443,4.3045,372.2,8.25,7221.0,4.24,3.488,1
4.618767792,5.9957,4399.1,7.48,6013.0,1.033,4.381,0
7.82187328,3.8417,42.2,2.78,7221.0,4.24,3.488,1
53.5057611,10.5616,195.6,2.52,6247.0,1.762,4.016,1
2.785821236,3.5599,68.9,1.69,6202.0,1.733,4.026,2
3.411758679,3.158,570.6,14.71,3995.0,0.561,4.71,0
0.525426427,1.0801,324.6,1.45,5791.0,0.802,4.575,0
1.269091415,1.4647,340.9,1.41,5041.0,0.766,4.576,2
2.853133997,1.465,277.1,1.36,5041.0,0.766,4.576,2
6.79685353,3.1702,393.1,2.01,6061.0,0.97,4.486,2
1.475323222,2.3155,154.9,5.88,4941.0,4.885,3.317,2
4.15246118,2.5755,223.4,7.62,4941.0,4.885,3.317,2
8.7348852,4.49,270.7,1.59,5982.0,0.96,4.493,2
10.26547688,3.733,399.6,1.81,5699.0,0.853,4.553,0
13.4471791,3.0454,1428.2,5.24,6276.0,1.041,4.405,1
4.800653901,9.0419,15304.0,16.91,6715.0,1.241,4.347,0
34.82008158,11.1711,18848.0,11.36,5114.0,0.784,4.522,0
3.99751422,3.686,32.8,2.98,5066.0,5.324,3.122,0
1.592633181,5.5605,633.1,1.56,4506.0,0.651,4.626,0
67.5923754,12.249,4158.1,12.1,6038.0,1.744,4.082,2
17.02902786,4.645,568.9,2.54,5839.0,1.067,4.327,2
6.84619236,3.529,246.8,1.67,5839.0,1.067,4.327,2
67.8321638,7.358,507.8,2.39,5839.0,1.067,4.327,2
43.1312147,3.198,447.8,2.39,5839.0,1.067,4.327,2
1.224866441,1.7086,196.0,1.54,5553.0,1.107,4.32,2
37.8102649,8.733,570.3,2.33,6085.0,0.973,4.451,2
25.93406406,4.6142,414.5,2.48,5952.0,1.225,4.287,2
83.4463485,6.536,503.0,2.73,5952.0,1.225,4.287,2
12.99204853,6.0175,270.6,2.03,5765.0,1.242,4.236,2
11.11620211,4.211,4843.9,8.96,6122.0,0.996,4.471,0
1.922861499,3.5734,1916.2,5.09,5778.0,0.911,4.531,0
0.635445336,1.8592,2547.4,19.0,3920.0,0.55,4.7,0
52.09081627,8.6388,2894.1,7.14,6198.0,1.324,4.237,2
7.1548608,7.694,780.4,7.41,7443.0,1.739,4.166,0
4.28746668,1.5693,790.1,2.29,5296.0,0.815,4.576,2
2.002779769,2.231,260.5,1.42,5346.0,0.892,4.44,0
8.18739443,3.0472,517.6,1.92,5251.0,0.849,4.494,2
76.0498163,7.158,445.9,1.75,5251.0,0.849,4.494,2
3.341799486,2.9254,178.2,1.67,5873.0,1.235,4.293,2
3.3226948,3.568,78.7,15.33,5234.0,16.959,2.41,0
1.303859704,2.8239,36.7,0.98,6802.0,1.521,4.103,0
3.749105745,1.9826,182.6,1.68,5751.0,0.983,4.447,2
11.08956602,6.2877,148.1,3.51,6353.0,2.867,3.698,2
7.37290344,2.172,205.2,2.67,5973.0,1.07,4.371,1
7.24476126,2.3145,58.0,0.65,5370.0,0.874,4.494,0
119.0624882,3.1188,5372.3,10.4,5697.0,0.92,4.392,1
8.70798309,2.4904,1419.6,2.01,4362.0,0.554,4.722,2
14.8623076,3.161,840.0,1.57,4362.0,0.554,4.722,1
4.17634276,2.335,531.5,1.23,4362.0,0.554,4.722,2
27.40229859,6.8491,747.5,3.63,6198.0,1.324,4.237,2
3.179267286,1.0246,200.9,1.21,5511.0,0.857,4.554,2
10.38122447,2.715,801.5,2.18,5095.0,0.78,4.566,2
24.5709023,3.587,764.2,2.82,5095.0,0.78,4.566,2
81.221876,4.1135,9883.0,16.59,5619.0,0.874,4.536,0
0.817026268,2.0799,1145.5,2.92,5619.0,0.874,4.536,0
3.024092505,2.8021,7765.0,12.14,6063.0,1.358,4.261,2
5.670155713,0.9361,536.7,5.85,3337.0,0.183,5.126,0
1.022678654,1.3712,129.2,1.14,5366.0,1.02,4.363,2
12.10968709,6.3461,284.7,2.98,6021.0,1.458,4.093,2
4.75796103,4.66,124.5,1.7,6021.0,1.458,4.093,2
20.4972755,8.536,242.9,2.96,6021.0,1.458,4.093,2
13.55480534,2.288,48.3,0.62,5370.0,0.874,4.494,0
53.5292702,5.668,1086.1,2.28,4736.0,0.708,4.624,2
2.757584622,0.9267,563.1,1.01,3683.0,0.424,4.84,2
0.928310036,1.1899,376.2,1.16,4109.0,0.602,4.672,2
13.48457668,5.0197,653.5,3.39,6198.0,1.324,4.237,2
31.8841473,6.122,910.0,3.7,5779.0,0.974,4.477,2
12.06222962,2.0584,300.2,1.62,5547.0,0.933,4.451,2
9.93146307,5.678,398.6,2.41,5782.0,1.22,4.28,2
21.85362905,3.439,355.6,1.75,5830.0,0.876,4.54,2
8.19345065,5.234,115.4,1.74,6021.0,1.458,4.093,2
19.97867,10.168,944.3,6.85,9651.0,1.895,4.229,0
41.8059544,6.057,434.4,2.02,5907.0,0.973,4.445,2
15.45158184,2.406,85.3,2.02,7839.0,2.069,4.08,0
4.77800306,2.7361,473.0,1.85,5192.0,0.873,4.489,2
7.814839231,3.0122,2010.3,5.33,5887.0,0.931,4.499,0
29.7452499,22.695,778.9,3.6,5334.0,1.004,4.372,0
5.32667299,3.4045,611.4,2.26,5831.0,0.921,4.517,2
8.17242644,3.902,864.3,3.29,5705.0,0.905,4.499,2
13.0607936,3.215,236.6,1.45,5830.0,0.876,4.54,2
4.2989201,2.747,237.6,2.12,5300.0,0.986,4.385,1
5.68628739,17.573,5559.7,4.5,6052.0,0.956,4.442,0
4.020628573,4.4085,20901.0,16.94,6210.0,1.033,4.45,0
5.714817603,3.14126,12295.0,9.29,5695.0,0.842,4.526,1
2.897432135,3.1793,1223.7,14.35,5970.0,2.994,3.619,0
8.70420525,2.9385,1074.9,2.86,5074.0,0.863,4.474,2
8.1280933,3.727,224.1,1.39,5831.0,0.921,4.517,2
2.83668931,3.031,166.1,1.19,5831.0,0.921,4.517,1
0.974868896,1.6191,197.6,1.16,5487.0,0.832,4.563,2
4.89721006,1.812,274.4,1.48,5093.0,0.847,4.483,2
1.914158508,3.2917,7829.2,13.63,6289.0,1.118,4.407,0
3.98216698,2.396,381.3,3.32,5570.0,1.548,4.066,0
0.643794198,1.5662,456.7,19.51,5958.0,0.83,4.561,0
16.08832318,5.731,597.8,3.42,6157.0,1.33,4.224,2
10.30067919,4.885,271.8,2.2,6157.0,1.33,4.224,2
35.6757453,7.381,471.2,3.02,6157.0,1.33,4.224,2
16.56806842,4.2647,1331.4,2.54,4987.0,0.716,4.602,2
47.3329299,2.708,931.5,2.18,4987.0,0.716,4.602,2
0.856895349,1.3078,82.2,0.82,6021.0,0.873,4.537,0
40.8065333,13.135,313.9,3.71,6207.0,2.097,3.963,2
